Asset ID,Timestamp,X,Y
A1,2025-05-22 09:00:00,26.31,97.3
A1,2025-05-22 09:05:00,25.65,94.78
A1,2025-05-22 09:10:00,25.65,94.78
A1,2025-05-22 09:15:00,23.37,94.86
A1,2025-05-22 09:20:00,21.02,92.49
A1,2025-05-22 09:25:00,21.84,93.21
A1,2025-05-22 09:30:00,23.79,93.43
A1,2025-05-22 09:35:00,27.49,97.54
A1,2025-05-22 09:40:00,28.99,99.11
A1,2025-05-22 09:45:00,30.69,99.77
A1,2025-05-22 09:50:00,31.87,98.59
A1,2025-05-22 09:55:00,34.48,100.46
A1,2025-05-22 10:00:00,219.68,272.6
A1,2025-05-22 10:05:00,34.42,99.32
A1,2025-05-22 10:10:00,33.14,96.87
A1,2025-05-22 10:15:00,23.79,93.43
A1,2025-05-22 10:20:00,19.21,93.63
A1,2025-05-22 10:25:00,31.87,98.59
A1,2025-05-22 10:30:00,32.13,99.32
A1,2025-05-22 10:35:00,29.8,99.95
A1,2025-05-22 10:40:00,32.79,101.93
A1,2025-05-22 10:45:00,23.79,93.43
A1,2025-05-22 10:50:00,24.99,91.93
A1,2025-05-22 10:55:00,261.15,297.62
A1,2025-05-22 11:00:00,27.49,97.54
A1,2025-05-22 11:05:00,27.49,97.54
A1,2025-05-22 11:10:00,27.7,100.53
A1,2025-05-22 11:15:00,26.76,100.39
A1,2025-05-22 11:20:00,27.09,98.89
A1,2025-05-22 11:25:00,29.66,101.33
A1,2025-05-22 11:30:00,29.96,99.43
A1,2025-05-22 11:35:00,30.74,97.66
A1,2025-05-22 11:40:00,236.74,244.29
A1,2025-05-22 11:45:00,29.83,98.29
A1,2025-05-22 11:50:00,30.72,99.97
A1,2025-05-22 11:55:00,29.88,99.78
A1,2025-05-22 12:00:00,27.49,97.54
A1,2025-05-22 12:05:00,27.16,99.77
A1,2025-05-22 12:10:00,28.9,100.88
A1,2025-05-22 12:15:00,26.91,100.69
A1,2025-05-22 12:20:00,26.91,100.69
A1,2025-05-22 12:25:00,19.21,93.63
A1,2025-05-22 12:30:00,19.21,93.63
A1,2025-05-22 12:35:00,18.08,92.36
A1,2025-05-22 12:40:00,18.46,93.56
A1,2025-05-22 12:45:00,19.36,92.22
A1,2025-05-22 12:50:00,20.2,91.06
A1,2025-05-22 12:55:00,22.0,91.03
A1,2025-05-22 13:00:00,20.7,91.15
A1,2025-05-22 13:05:00,21.78,89.61
A1,2025-05-22 13:10:00,25.15,88.83
A1,2025-05-22 13:15:00,24.58,90.04
A1,2025-05-22 13:20:00,22.18,88.82
A1,2025-05-22 13:25:00,257.21,265.46
A1,2025-05-22 13:30:00,22.35,91.65
A1,2025-05-22 13:35:00,17.94,96.02
A1,2025-05-22 13:40:00,14.74,97.17
A1,2025-05-22 13:45:00,11.87,96.18
A1,2025-05-22 13:50:00,11.38,95.62
A1,2025-05-22 13:55:00,12.14,94.26
A1,2025-05-22 14:00:00,11.78,93.01
A1,2025-05-22 14:05:00,12.46,90.84
A1,2025-05-22 14:10:00,34.42,99.32
A1,2025-05-22 14:15:00,34.0,98.42
A1,2025-05-22 14:20:00,34.29,100.39
A1,2025-05-22 14:25:00,34.53,102.66
A1,2025-05-22 14:30:00,34.69,101.78
A1,2025-05-22 14:35:00,33.58,98.92
A1,2025-05-22 14:40:00,287.78,206.3
A1,2025-05-22 14:45:00,33.58,98.92
A1,2025-05-22 14:50:00,30.96,102.04
A1,2025-05-22 14:55:00,30.9,99.92
A1,2025-05-22 15:00:00,248.83,279.07
A1,2025-05-22 15:05:00,30.9,99.92
A1,2025-05-22 15:10:00,33.63,100.28
A1,2025-05-22 15:15:00,30.95,96.78
A1,2025-05-22 15:20:00,30.14,95.74
A1,2025-05-22 15:25:00,30.34,93.95
A1,2025-05-22 15:30:00,30.91,96.53
A1,2025-05-22 15:35:00,33.76,94.75
A1,2025-05-22 15:40:00,220.07,251.56
A1,2025-05-22 15:45:00,35.94,92.89
A1,2025-05-22 15:50:00,39.38,92.81
A1,2025-05-22 15:55:00,40.51,92.54
A1,2025-05-22 16:00:00,41.26,89.49
A1,2025-05-22 16:05:00,38.75,90.72
A1,2025-05-22 16:10:00,37.8,91.42
A1,2025-05-22 16:15:00,36.04,93.0
A1,2025-05-22 16:20:00,39.59,93.21
A1,2025-05-22 16:25:00,39.41,92.21
A1,2025-05-22 16:30:00,39.63,92.44
A1,2025-05-22 16:35:00,22.0,91.03
A1,2025-05-22 16:40:00,22.0,91.03
A1,2025-05-22 16:45:00,24.01,94.05
A1,2025-05-22 16:50:00,23.6,96.15
A1,2025-05-22 16:55:00,230.27,265.32
A1,2025-05-22 17:00:00,23.79,93.43
A1,2025-05-22 17:05:00,21.78,89.61
A1,2025-05-22 17:10:00,25.39,86.67
A1,2025-05-22 17:15:00,23.98,86.74
A2,2025-05-22 09:00:00,24.18,101.66
A2,2025-05-22 09:05:00,26.19,100.97
